round,ranger.MCC,ranger.Acc,ranger.F1,ranger.Precision,rpart.MCC,rpart.Acc,rpart.F1,rpart.Precision,glm.MCC,glm.Acc,glm.F1,glm.Precision
fold.1_train,1,1,1,1,0.682077,0.864694,0.840196,0.849533,1,1,1,1
fold.1_test,0.981272,0.983402,0.987013,0.974684,0.604191,0.825726,0.798891,0.818306,0.908808,0.991701,0.912222,0.912222
fold.1_valid,0.951288,0.958333,0.968927,0.946127,0.614184,0.808333,0.800805,0.808482,0.979108,0.995833,0.980386,0.966667
fold.2_train,1,1,1,1,0.667322,0.857143,0.83307,0.842543,1,1,1,1
fold.2_test,0.960721,0.9625,0.973684,0.95,0.5497,0.779167,0.77256,0.769212,1,1,1,1
fold.2_valid,0.970239,0.979167,0.979802,0.963415,0.601553,0.836237,0.800943,0.797075,0.879868,0.989583,0.883753,0.90812
fold.3_train,1,1,1,1,0.672101,0.853104,0.835494,0.842509,1,1,1,1
fold.3_test,0.970239,0.979167,0.979802,0.963415,0.597285,0.832753,0.798908,0.791126,0.926362,0.993056,0.930348,0.929004
fold.3_valid,0.995169,0.996377,0.99635,0.992754,0.550788,0.836364,0.774681,0.787209,1,1,1,1
fold.4_train,1,1,1,1,0.662639,0.852853,0.829026,0.844358,1,1,1,1
fold.4_test,0.995169,0.996377,0.99635,0.992754,0.567884,0.843636,0.782506,0.799857,1,1,1,1
fold.4_valid,0.983942,0.985185,0.989362,0.979167,0.569971,0.802974,0.773657,0.812443,0.961504,0.996296,0.961141,0.933333
fold.5_train,1,1,1,1,0.691775,0.866138,0.845379,0.854596,1,1,1,1
fold.5_test,0.983942,0.985185,0.989362,0.979167,0.56203,0.8,0.776425,0.794953,0.961504,0.996296,0.961141,0.933333
fold.5_valid,0.962199,0.972868,0.976156,0.956742,0.587189,0.825581,0.794118,0.787152,1,1,1,1
fold.6_train,1,1,1,1,0.672614,0.858128,0.832508,0.854456,1,1,1,1
fold.6_test,0.962547,0.972868,0.974162,0.953333,0.621108,0.841085,0.810726,0.810567,1,1,1,1
fold.6_valid,0.969592,0.980545,0.982123,0.97093,0.549779,0.805447,0.771455,0.789783,0.875851,0.988327,0.882886,0.880857
fold.7_train,1,1,1,1,0.680665,0.860442,0.838129,0.857027,1,1,1,1
fold.7_test,0.969592,0.980545,0.982123,0.97093,0.541001,0.801556,0.76759,0.783661,0.875851,0.988327,0.882886,0.880857
fold.7_valid,0.77683,0.976096,0.744877,0.972166,0.587357,0.840637,0.791693,0.805049,1,1,1,1
fold.8_train,1,1,1,1,0.659751,0.852728,0.825015,0.852611,1,1,1,1
fold.8_test,0.77683,0.976096,0.744877,0.972166,0.54839,0.828685,0.76995,0.790692,1,1,1,1
fold.8_valid,0.984838,0.986425,0.989655,0.97973,0.612893,0.828054,0.803051,0.82235,0.934782,0.995475,0.931002,0.99537
fold.9_train,1,1,1,1,0.688647,0.864839,0.842499,0.860198,1,1,1,1
fold.9_test,0.984838,0.986425,0.989655,0.97973,0.585534,0.81448,0.792637,0.796795,0.934782,0.995475,0.931002,0.99537
fold.9_valid,0.975697,0.983539,0.984818,0.976771,0.60931,0.835391,0.80196,0.822218,1,1,1,1
fold.10_train,1,1,1,1,0.683127,0.862555,0.839742,0.855591,1,1,1,1
fold.10_test,0.975697,0.983539,0.984818,0.976771,0.598214,0.831276,0.795772,0.818173,1,1,1,1
fold.10_valid,0.981139,0.983402,0.988658,0.977702,0.540706,0.80083,0.762711,0.786414,0.908808,0.991701,0.912222,0.912222
